Date,Shift,activeClay,compactibility,gcs,gfnAfs,inertFines,loi,moisture,permeability,shearStrength,splitStrength,tempOfSandAfterMix,volatileMatter,S/M,C/S,C/M,bentonite,freshSilicaSand,lca,returnSand,water,activeClay,compactibility,gcs,gfnAfs,inertFines,loi,moisture,permeability,shearStrength,splitStrength,tempOfSandAfterMix,volatileMatter
10-01-2025,1,8.4,38,2213.75,64.68,2.69,5.2662,3.25,94.125,536.25,503.75,38.125,3.2,7.054740971,0.050743574,0.357982773,0.014136309,0.013918013,0.005384631,0.952563653,0.013997394,8.47,39,2165,64.17,2.76,5.37,3.3,96,535,455,32.5,3.15
10-01-2025,2,8.4262,38.75,2158.75,64.4888,2.7162,5.2838,3.2875,95.25,542.5,460,33.25,3.175,5.806362287,0.071003892,0.412274318,0.013991279,0.013926251,0.005380208,0.95283077,0.013871491,8.428,38.2,2360,64.17,2.76,5.28,3.24,90.8,534,540,37.4,3.1
10-01-2025,3,8.435,38.25,2285,64.17,2.76,5.28,3.25,91,530,540,37.625,3.1,6.245271912,0.067470896,0.421374089,0.013919165,0.013927438,0.005381526,0.953038845,0.013733025,8.47,38,2185,64.17,2.76,5.295,3.225,93.75,555,500,39.25,3.1
11-01-2025,1,8.47,38.25,2170,64.17,2.76,5.3025,3.25,94.5,542.5,500,39,3.1,6.583793982,0.065579076,0.431759127,0.013998904,0.013931372,0.005378693,0.953387306,0.013303725,8.47,38.3333,2183.3333,64.17,2.76,5.34,3.2667,94,553.3333,466.6667,39,3.1
11-01-2025,2,8.45,38.625,2160,63.905,2.805,5.315,3.2875,94.875,545,460,36.75,3.05,6.242534786,0.062603767,0.390806191,0.013951001,0.01393572,0.005373606,0.953496664,0.013243009,8.43,38.3333,2226.6667,63.64,2.85,5.2,3.2667,92.3333,533.3333,500,37.6667,2.9
11-01-2025,3,8.415,38.5,2187.5,63.64,2.85,5.2,3.2625,92,531.25,500,38.625,2.9,5.758887984,0.070281213,0.404741633,0.014072186,0.013927278,0.005576278,0.953173219,0.01325104,8.43,38,2210,63.64,2.85,5.2667,3.2333,97,553.3333,500,39.6667,2.9
14-01-2025,2,8.4,38.5,2295,64.13,2.68,5.4,3.25,91.5,555,540,32.5,3,7.493503073,0.007379527,0.055298507,0.014057963,0.013969862,0.005596372,0.956094721,0.010281083,8.4125,37.5,2160,64.13,2.68,5.4,3.175,93,557.5,502.5,34,3.1
14-01-2025,3,8.4188,37.875,2157.5,64.13,2.68,5.4,3.225,94.125,546.25,496.25,34.875,3.1,6.017936634,0.05278781,0.317673698,0.013955724,0.013936501,0.005648288,0.953448883,0.013010605,8.4,38.2,2164,64.13,2.68,5.334,3.24,94.2,544,464,37.6,3.1
15-01-2025,1,8.4,38,2167.5,64.13,2.68,5.345,3.225,93.875,545,466.25,37.75,3.1,6.63179822,0.059037924,0.391527596,0.013904894,0.013902063,0.005577813,0.951342781,0.015272449,8.388,38,2226,64.222,2.668,5.286,3.24,91.8,536,536,37.2,3.08
15-01-2025,2,8.3775,38.125,2230,64.3025,2.6575,5.3,3.25,91.625,528.75,537.5,37.375,3.0875,7.72519728,0.050950671,0.393603987,0.013973819,0.013910199,0.005568571,0.952045926,0.014501486,8.3667,37.6667,2183.3333,64.59,2.62,5.35,3.2,96,543.3333,483.3333,38.6667,3
15-01-2025,3,8.37,39.5,2137.5,64.59,2.62,5.35,3.3375,95.625,528.75,470,38.875,3,7.275174599,0.053975885,0.392683986,0.013922805,0.013915174,0.005570648,0.952351882,0.014239492,8.34,37.3333,2236.6667,64.59,2.62,5.2633,3.2,91,570,466.6667,39.3333,3
16-01-2025,1,8.34,39.125,2152.5,64.59,2.62,5.2687,3.3125,95.625,546.25,467.5,39.875,3,6.294905929,0.061407065,0.386551697,0.01392813,0.013922691,0.005577234,0.952834165,0.01373778,8.376,35.8,2294,64.248,2.692,5.448,3.14,92.2,574,476,40.6,3.04
16-01-2025,2,8.37,37.25,2228.75,64.305,2.68,5.4213,3.225,95.5,561.25,475,40.625,3.025,7.575804322,0.05154272,0.39047756,0.013967459,0.013920771,0.00556753,0.952432828,0.014111413,8.45,37.5,2185,64.02,2.74,5.42,3.2,95.25,550,475,40.5,3.1
17-01-2025,1,8.4,39.25,2152.5,64.02,2.74,5.3588,3.3,96.375,543.75,456.25,40.125,3.1,5.151414816,0.07367984,0.37955542,0.013917702,0.013917702,0.005574297,0.952501218,0.014089081,8.37,37.5,2255,64.79,2.66,5.3,3.2,96,535,540,39,3.05
17-01-2025,2,8.3925,38.25,2183.75,64.2125,2.72,5.3,3.25,93,535,525,38.25,3.0875,5.394813429,0.07899435,0.426159778,0.013923022,0.013926172,0.00557677,0.952777043,0.013796993,8.3625,38,2192.5,64.79,2.66,5.3,3.25,93,547.5,487.5,39.5,3
17-01-2025,3,8.3588,38.5,2165,64.79,2.66,5.3,3.275,92.25,536.25,478.75,40.25,3,6.214879308,0.062970664,0.391355076,0.013945508,0.013924239,0.005577258,0.952860353,0.013692641,8.37,38.6,2182,64.79,2.66,5.332,3.26,93.6,556,462,41,3
